,pickup_cluster,lat,lon
16806,6,-34.76,30.7
16807,6,-34.37,31.83
16808,6,-34.17,32.38
16809,6,-33.93,33.1
16810,6,-33.46,34.52
16811,6,-32.96,35.92
16812,6,-32.46,37.31
16813,6,-32.2,37.98
16814,6,-31.93,38.67
16815,6,-31.38,40.04
16816,6,-30.81,41.39
16817,6,-30.23,42.73
16818,6,-29.93,43.38
16819,6,-29.65,44.03
16820,6,-29.06,45.32
16821,6,-28.46,46.59
16822,6,-27.86,47.85
16823,6,-27.55,48.47
16824,6,-27.22,49.1
16825,6,-26.56,50.35
16826,6,-25.88,51.58
16827,6,-25.19,52.8
16828,6,-24.97,53.2
16829,6,-24.5,54.04
16830,6,-23.79,55.28
16831,6,-23.07,56.5
16832,6,-22.34,57.72
16833,6,-22.1,58.12
16834,6,-21.62,58.89
16835,6,-20.89,60.04
16836,6,-20.15,61.18
16837,2,-19.4,62.31
16838,2,-19.15,62.68
16839,2,-18.68,63.38
16840,2,-17.96,64.42
16841,2,-17.25,65.44
16842,2,-16.52,66.46
16843,2,-16.4,66.63
16844,2,-15.78,67.51
16845,2,-15.04,68.55
16846,2,-14.29,69.58
16847,2,-13.54,70.61
16848,2,-13.42,70.78
16849,2,-12.77,71.64
16850,2,-11.98,72.66
16851,2,-11.19,73.67
16852,2,-10.4,74.68
16853,2,-10.27,74.85
16854,2,-9.6,75.71
16855,2,-8.79,76.73
16856,2,-7.98,77.75
16857,2,-7.17,78.77
16858,2,-6.31,79.83
16859,2,-5.45,80.9
16860,2,-4.59,81.96
16861,2,-3.75,82.98
16862,2,-2.91,84.0
16863,2,-2.07,85.01
16864,2,-1.24,86.02
16865,2,-0.53,86.87
16866,2,-0.4,87.03
16867,2,0.42,88.02
16868,2,1.24,89.0
16869,2,2.05,89.99
16870,2,2.73,90.82
16871,2,2.87,90.99
16872,2,3.72,92.01
16873,2,4.57,93.04
16874,5,5.42,94.07
16875,5,5.98,94.77
16876,5,6.12,95.17
16877,5,6.12,96.48
16878,5,5.93,97.77
16879,5,5.23,98.78
16880,5,4.55,99.33
16881,5,4.22,99.62
16882,5,3.23,100.48
16883,5,2.52,101.54
16884,5,1.74,102.58
16885,5,1.27,103.3
16886,5,1.18,103.43
16887,5,1.27,104.1
16888,5,1.27,104.22
16889,5,1.53,104.53
16890,5,2.71,105.15
16891,5,3.9,105.71
16892,5,4.95,106.51
16893,5,5.63,107.07
16894,5,5.98,107.35
16895,5,7.01,108.21
16896,5,8.04,109.08
16897,5,9.08,109.94
16898,5,9.77,110.52
16899,5,10.1,110.8
16900,5,11.11,111.67
16901,5,12.11,112.53
16902,0,13.11,113.4
16903,0,13.78,113.98
16904,0,14.11,114.26
16905,0,15.08,115.11
16906,0,16.05,115.96
16907,0,17.02,116.81
16908,0,17.67,117.38
16909,0,17.99,117.67
16910,0,18.97,118.55
16911,0,19.94,119.42
16912,0,20.92,120.31
16913,0,21.57,120.9
16914,0,21.96,121.16
16915,0,23.14,121.96
16916,0,24.5,122.28
16917,0,25.87,122.56
16918,0,26.78,122.75
16919,0,27.18,122.73
16920,0,27.59,122.71
16921,0,28.46,122.69
16922,0,28.89,122.68
16923,0,29.18,122.67
16924,0,29.63,122.58
16925,2,17.63,83.42
16926,2,16.65,83.46
16927,2,15.57,83.32
16928,2,14.49,83.17
16929,2,14.4,83.15
16930,2,13.32,83.01
16931,2,12.14,82.86
16932,2,10.96,82.7
16933,2,9.78,82.54
16934,2,9.58,82.52
16935,2,8.68,82.41
16936,2,7.6,82.27
16937,2,6.52,82.14
16938,2,5.63,81.58
16939,2,5.48,81.48
16940,2,4.71,80.8
16941,2,3.72,80.06
16942,2,2.84,79.17
16943,2,2.01,78.25
16944,2,1.88,78.08
16945,2,1.23,77.15
16946,2,0.45,76.02
16947,2,-0.34,74.9
16948,2,-1.12,73.77
